fecha,año,mes,dia,dia_semana,dia_del_año,temp_media,temp_maxima,temp_minima,precipitacion_mm,humedad_relativa,velocidad_viento,presion_hpa,nubosidad_oktas,tipo_dia
2018-01-01,2018,1,1,0,1,20.5,24.1,12.6,0.0,54.8,9.8,865.1,2.0,Despejado
2018-01-02,2018,1,2,1,2,21.6,26.6,16.4,0.0,52.3,4.5,863.4,2.0,Despejado
2018-01-03,2018,1,3,2,3,17.4,23.0,13.2,0.0,58.8,7.0,865.3,2.0,Despejado
2018-01-04,2018,1,4,3,4,20.8,24.7,14.8,0.0,52.7,4.9,866.0,1.0,Despejado
2018-01-05,2018,1,5,4,5,21.2,25.0,16.4,0.0,50.0,9.5,864.7,3.0,Despejado
2018-01-06,2018,1,6,5,6,21.4,27.7,17.1,0.8,58.5,10.8,863.4,5.0,Llovizna
2018-01-07,2018,1,7,6,7,20.7,26.4,15.4,0.0,58.8,14.0,863.3,3.0,Despejado
2018-01-08,2018,1,8,0,8,18.9,24.1,14.4,0.0,52.0,14.4,863.7,3.0,Despejado
2018-01-09,2018,1,9,1,9,21.5,25.4,17.4,0.0,57.8,15.3,860.3,0.0,Despejado
2018-01-10,2018,1,10,2,10,21.2,27.3,16.3,0.0,55.2,21.8,861.4,1.0,Despejado
2018-01-11,2018,1,11,3,11,19.1,23.3,11.5,0.0,54.6,25.7,866.8,2.0,Despejado
2018-01-12,2018,1,12,4,12,20.2,26.7,16.2,0.0,52.8,5.4,864.4,2.0,Despejado
2018-01-13,2018,1,13,5,13,13.9,19.9,8.4,0.0,61.4,4.0,867.8,2.0,Despejado
2018-01-14,2018,1,14,6,14,20.3,25.6,16.1,0.0,47.8,4.8,864.8,2.0,Despejado
2018-01-15,2018,1,15,0,15,20.5,26.5,15.0,0.0,54.3,4.7,866.4,1.0,Despejado
2018-01-16,2018,1,16,1,16,21.1,25.3,16.9,0.0,57.3,5.3,867.7,1.0,Despejado
2018-01-17,2018,1,17,2,17,23.1,27.8,18.6,1.4,58.1,15.4,864.3,5.0,Llovizna
2018-01-18,2018,1,18,3,18,19.2,24.6,14.2,0.0,54.8,13.1,866.2,2.0,Despejado
2018-01-19,2018,1,19,4,19,20.0,24.1,12.4,0.0,58.8,7.6,865.9,0.0,Despejado
2018-01-20,2018,1,20,5,20,22.1,28.1,17.2,0.0,54.9,13.4,862.1,1.0,Despejado
2018-01-21,2018,1,21,6,21,21.9,26.3,16.9,0.0,51.1,19.1,862.7,1.0,Despejado
